id,gender,age,study_level,prfinal1,prfinal2,prfinal3,prfinal4,prfinal5,prfinal6,prfinal7,prfinal8,prfinal9,prfinal10,prfinal11,prfinal12,prfinal13,ended,start_capital,end_capital,partida_id,prfinal14,prfinal15,winnings
186,d,47,r6,r1,r2,r2,r2,r3,r1,r1,r1,r1,r2,r1,r3,r2,1,40,14,31,r1,r2,14
187,h,50,r5,r1,r1,r1,r3,r3,r2,r2,r2,r2,r2,r3,r3,r1,1,60,34,31,r1,r1,34
188,d,12,r3,r1,r2,r2,r3,r3,r3,r1,r3,r1,r2,r3,r3,r3,1,30,14,31,r2,r4,14
189,d,20,r6,r1,r1,r2,r2,r3,r1,r1,r1,r2,r2,r3,r2,r2,1,40,8,32,r3,r3,8
190,d,22,r4,r1,r1,r2,r3,r3,r1,r1,r3,r1,r2,r3,r3,r2,1,40,18,32,r1,r3,18
191,d,21,r4,r1,r3,r1,r3,r3,r1,r1,r3,r1,r2,r3,r3,r2,1,40,16,32,r1,r2,16
192,d,72,r4,r1,r2,r2,r2,r2,r3,r3,r2,r2,r2,r3,r3,r2,1,40,20,32,r4,r3,20
193,h,73,r5,r1,r1,r2,r3,r3,r3,r1,r1,r3,r2,r3,r3,r2,1,40,18,32,r3,r2,18
194,h,56,r4,r1,r2,r3,r2,r2,r3,r1,r2,r1,r2,r3,r3,r2,1,30,10,33,r2,r3,10
195,d,30,r6,r1,r1,r1,r2,r2,r1,r1,r1,r1,r2,r3,r3,r2,1,50,24,33,r1,r3,24
196,h,33,r6,r1,r1,r2,r1,r2,r1,r1,r3,r2,r2,r1,r3,r2,1,40,30,33,r1,r4,30
197,d,54,r6,r3,r1,r1,r3,r3,r1,r1,r1,r1,r2,r3,r3,r2,1,40,22,34,r3,r3,22
198,h,70,r5,r3,r1,r2,r3,r3,r3,r2,r1,r1,r2,r3,r3,r2,1,40,18,34,r1,r1,18
199,h,40,r6,r3,r1,r2,r3,r3,r1,r1,r2,r2,r2,r3,r3,r2,1,40,30,33,r2,r3,30
200,d,39,r6,r3,r2,r4,r3,r3,r1,r1,r2,r1,r2,r1,r3,r2,1,60,20,33,r1,r3,20
201,h,67,r5,r3,r1,r2,r4,r4,r1,r1,r1,r1,r2,r3,r3,r4,1,40,12,34,r1,r1,12
202,h,24,r5,r1,r2,r2,r3,r3,r1,r1,r1,r2,r2,r3,r4,r2,1,40,22,34,r2,r3,22
203,d,28,r6,r1,r3,r1,r3,r3,r1,r1,r1,r2,r2,r1,r3,r2,1,20,2,33,r3,r2,2
204,d,54,r6,r1,r1,r2,r2,r2,r2,r3,r1,r2,r1,r4,r3,r2,1,40,24,34,r2,r1,24
205,h,13,r2,r3,r1,r1,r2,r3,r1,r1,r1,r1,r1,r3,r3,r1,1,40,12,34,r1,r4,12
206,d,27,r6,r1,r2,r2,r3,r3,r3,r2,r1,r1,r2,r1,r3,r2,1,60,26,35,r1,r3,26
207,h,26,r6,r1,r2,r1,r2,r2,r1,r1,r2,r1,r2,r1,r3,r2,1,30,24,35,r2,r4,24
208,h,26,r4,r1,r2,r1,r3,r3,r1,r1,r2,r2,r2,r3,r3,r2,1,40,26,35,r1,r4,26
209,h,25,r6,r1,r2,r1,r3,r3,r1,r2,r2,r3,r2,r3,r3,r2,1,50,12,35,r1,r2,12
210,d,13,r3,r1,r1,r2,r3,r3,r3,r2,r3,r3,r1,r4,r3,r2,1,40,18,36,r2,r2,18
